person_id,name,role,title_count,avg_imdb_score,avg_tmdb_score
1449,Ennio Morricone,ACTOR,1,7.4,7.0
1460,Vincent Macaigne,ACTOR,1,5.8,5.9
1464,Thomas Blanchard,ACTOR,1,6.3,6.2
1465,Pauline Étienne,ACTOR,1,7.1,7.5
1468,Sébastien Betbeder,DIRECTOR,1,6.3,6.2
1471,Olivia Taylor Dudley,ACTOR,1,7.6,7.7
1472,Michael Peña,ACTOR,6,6.33,6.45
1473,Djimon Hounsou,ACTOR,3,7.1,6.89
1475,Dougray Scott,ACTOR,1,6.1,6.1
1476,Kathleen Robertson,ACTOR,1,6.9,7.0
1477,John Patrick Amedori,ACTOR,1,6.1,6.4
1478,Cas Anvar,ACTOR,2,6.7,6.5
1479,Michael Paré,ACTOR,1,5.8,5.9
1482,Joseph Bishara,ACTOR,3,7.2,7.25
1491,Seth Green,ACTOR,2,6.65,6.15
1492,Lorenza Izzo,ACTOR,1,5.3,5.7
1494,Ruth Bradley,ACTOR,1,7.1,7.1
1495,Sophie Traub,ACTOR,1,6.4,6.3
1497,Jocelin Donahue,ACTOR,1,6.5,6.7
1499,Kevin Smith,ACTOR,3,6.3,4.83
1499,Kevin Smith,DIRECTOR,1,5.5,5.6
1503,Scott Stewart,DIRECTOR,1,6.3,6.3
1507,Sarah Adina Smith,DIRECTOR,1,6.2,6.2
1509,John Travolta,ACTOR,4,5.25,5.92
1510,Rebecca De Mornay,ACTOR,1,7.3,7.18
1512,Patrick St. Esprit,ACTOR,1,7.1,6.9
1514,Luis Da Silva Jr.,ACTOR,3,4.97,5.88
1516,Chuck Russell,DIRECTOR,1,6.1,6.0
1517,Paul Sloan,ACTOR,1,4.4,5.5
1521,Nick Vallelonga,ACTOR,1,3.7,5.4
1524,Daniel Brühl,ACTOR,3,6.87,6.9
1525,Michael Nyqvist,ACTOR,2,6.65,6.3
1528,Vicky Krieps,ACTOR,2,6.5,6.8
1534,Jackie Chan,ACTOR,4,6.98,6.89
1535,Cécile de France,ACTOR,1,6.8,6.3
1537,Jim Broadbent,ACTOR,4,6.62,6.68
1538,Will Forte,ACTOR,9,6.28,6.32
1539,Steve Coogan,ACTOR,4,6.78,6.75
1541,Kathy Bates,ACTOR,6,6.78,6.61
1542,Arnold Schwarzenegger,ACTOR,3,6.77,6.59
1543,Daniel Wu,ACTOR,3,6.77,6.77
1544,Maggie Q,ACTOR,2,5.95,6.1
1545,Sammo Hung,ACTOR,3,6.43,6.5
1547,Richard Branson,ACTOR,1,8.0,7.52
1549,John Cleese,ACTOR,15,7.44,7.19
1552,Adam Godley,ACTOR,1,7.6,7.1
1554,Ewen Bremner,ACTOR,1,8.3,7.8
1556,Frank Coraci,ACTOR,2,5.8,5.85
1556,Frank Coraci,DIRECTOR,2,5.6,5.68
1558,David Benullo,DIRECTOR,1,3.9,6.8
1574,Russell Crowe,ACTOR,3,6.67,6.45
1575,Jennifer Connelly,ACTOR,2,8.15,7.98
1576,Anthony Hopkins,ACTOR,3,6.57,6.57
1579,Ray Winstone,ACTOR,2,7.0,6.8
1580,Douglas Booth,ACTOR,2,5.6,6.81
1581,Marton Csokas,ACTOR,1,7.0,6.7
1582,Dakota Goyo,ACTOR,2,6.75,6.85
1584,Mark Margolis,ACTOR,1,6.5,6.7
1585,Sami Gayle,ACTOR,1,5.8,6.2
1586,Nick Nolte,ACTOR,1,4.8,5.15
